tenure_months,monthly_charges,total_charges,num_support_tickets,contract_type,payment_method,has_addon_streaming,churned
50,69.6019665818683,3209.964553166436,0,one_year,bank_transfer,False,0
16,74.23427568341194,1151.9362208696573,0,month_to_month,paypal,False,0
43,93.98340937354412,4240.568009951413,0,month_to_month,credit_card,False,0
50,60.579994775014995,2845.4357693686793,5,one_year,credit_card,True,0
32,91.7490924029693,2902.931191245818,1,month_to_month,credit_card,True,1
10,56.94407412308411,607.5923974481649,1,month_to_month,paypal,False,0
40,50.149343850056205,2113.201361705036,0,one_year,credit_card,False,0
59,33.28602619145795,1918.798496569252,1,two_year,credit_card,False,1
71,43.52823397197221,2984.4887630960507,3,one_year,credit_card,False,0
55,81.81764146983274,4548.8744714842915,2,one_year,credit_card,False,0
10,87.48555357838129,894.0983736017954,0,one_year,bank_transfer,False,1
69,85.90710827586153,6137.051342384225,2,month_to_month,bank_transfer,True,0
4,60.30003843418263,254.29636225714344,0,one_year,debit_card,False,1
32,64.0418337142938,1995.495515250817,0,month_to_month,credit_card,False,0
25,62.5311406730097,1610.6335123928043,4,month_to_month,paypal,False,1
27,57.03283172750149,1598.686870976903,0,two_year,credit_card,False,1
63,69.24489931102939,4349.817755830079,4,one_year,debit_card,True,0
0,78.36998149100769,0.0,0,month_to_month,credit_card,True,1
28,55.979183520243915,1631.083533650601,5,two_year,bank_transfer,False,1
50,84.44403417932915,4473.682750340036,2,month_to_month,bank_transfer,True,0
26,68.82434696838466,1833.0524769882647,4,month_to_month,debit_card,False,0
38,64.88353731514836,2446.7540025101166,2,month_to_month,bank_transfer,False,1
45,63.88419068696538,2521.7243582271503,1,month_to_month,credit_card,True,0
6,61.07269689943129,373.60092495764616,3,month_to_month,credit_card,False,0
3,72.23918482888756,209.8879637908615,1,two_year,debit_card,True,1
50,53.44831518530677,2718.2766169265333,2,one_year,paypal,False,0
56,23.084235149932066,1267.6516576620463,1,one_year,paypal,True,0
14,119.88045632763813,1584.589954229011,3,two_year,credit_card,False,1
33,66.59761617739683,2141.2883319186644,1,one_year,paypal,False,1
3,34.75763975054912,98.31020667924696,0,month_to_month,paypal,False,0
22,102.96224323647759,2180.6841578176864,1,month_to_month,paypal,False,0
8,78.04881506687043,593.3504548706394,1,month_to_month,bank_transfer,True,0
13,84.79262409973124,1185.4041477483822,3,one_year,bank_transfer,False,1
69,66.87157041713402,4558.0019883431,4,month_to_month,bank_transfer,True,0
70,97.34803055476844,6403.4969936979605,0,two_year,credit_card,False,0
52,44.141298919968534,2313.1717573967476,1,one_year,debit_card,True,0
34,74.11317841772012,2215.798096873783,4,month_to_month,bank_transfer,True,0
48,40.03920449217907,1856.306542279972,2,month_to_month,bank_transfer,False,0
64,61.67829757466942,3817.8200468969335,2,month_to_month,bank_transfer,False,0
68,72.94981308865877,4977.726229182479,6,month_to_month,bank_transfer,False,0
66,72.46618808884917,4788.090681684164,2,two_year,bank_transfer,False,0
34,67.27600582432044,2534.8475861637703,3,month_to_month,bank_transfer,False,1
11,64.70456458190532,739.8227877917103,2,two_year,credit_card,True,0
59,64.869488853148,3735.1321414244435,4,month_to_month,debit_card,True,0
47,72.7374664137877,3378.83636964061,0,one_year,bank_transfer,True,0
51,97.21803174954107,4799.8080543371725,4,one_year,paypal,False,0
45,106.79004005645128,4765.510408505817,3,one_year,credit_card,True,0
18,45.927995702090946,854.7966910523468,2,month_to_month,credit_card,False,1
17,44.41492055649467,743.6441701968172,4,one_year,debit_card,False,0
29,79.44902028710602,2230.9297740343336,3,two_year,bank_transfer,False,0
28,70.23822032497263,2082.7502739420024,0,month_to_month,bank_transfer,False,0
46,100.5712162858773,4550.881571094044,1,one_year,bank_transfer,False,0
37,27.889214435820318,1017.4534363849633,1,month_to_month,debit_card,True,0
26,90.92104502095799,2467.657285648624,4,two_year,paypal,True,1
39,69.48721879304651,3081.6752016097976,2,one_year,bank_transfer,True,0
52,78.20737405343075,4432.110855001319,3,month_to_month,paypal,True,0
63,91.04846025598341,5671.560443330002,2,two_year,debit_card,False,0
62,68.18683648525649,4171.424151038701,4,one_year,debit_card,True,1
18,87.35551041052364,1652.666080617658,0,month_to_month,credit_card,False,0
20,32.55688995133208,656.1635800866464,2,month_to_month,bank_transfer,False,0
45,65.72093712278377,3089.479069663414,4,month_to_month,bank_transfer,False,0
39,60.83444663365433,2276.5140492829114,1,two_year,paypal,False,0
60,70.68420236665597,4189.779894167419,1,month_to_month,credit_card,False,0
20,45.792025444344226,977.6462625782752,5,month_to_month,credit_card,False,1
19,57.572110129057634,1085.456530759647,0,month_to_month,paypal,False,0
65,53.08064516405319,3185.6101046383214,3,one_year,credit_card,False,0
66,76.35997388828095,4934.786607333904,1,two_year,credit_card,False,0
8,90.32646405081398,686.6041703521489,1,month_to_month,debit_card,True,0
68,39.19291248303179,2607.013209343535,1,month_to_month,credit_card,True,0
13,98.71988035535428,1212.3098435305085,2,month_to_month,paypal,True,0
40,90.39014120402648,3629.8222142822474,0,month_to_month,paypal,False,1
0,45.492164010617834,0.0,3,one_year,paypal,True,1
40,82.79872331601582,3314.3250475897894,0,two_year,credit_card,False,0
50,66.00660401654287,3141.226853349041,3,one_year,bank_transfer,False,0
50,42.400386681926086,2173.3477954424015,2,one_year,debit_card,False,0
47,46.30069583431572,2151.1996767561714,3,two_year,debit_card,False,1
